,NID,Code,State,Error line,Error
71,d0783087,"#!/usr/bin/python3
a=input()
b=input()
c = int(a)+int(b)
print(""a+b=""+c)",Runtime Error,5,Data Type Error
72,d0680029,9+3=12,Compile Error,1,SyntaxError: can't assign to operator
73,d0680029,9+3=12,Compile Error,1,SyntaxError: can't assign to operator
74,d0680029,"num1 = input('9：')
num2 = input('3：')
sum = float(num1) + float(num2)",Runtime Error,0,No output
75,d0680029,"num1 = input('9：')
num2 = input('3：')",Runtime Error,0,No output
76,d0680029,print({9} 和 {3}),Compile Error,1,SyntaxError: invalid syntax
77,d0680029,"print ""9 + 3=""",Compile Error,1,SyntaxError: Missing parentheses in call to 'print'
78,d0680029,"print ""9 + 3=""，9+3",Compile Error,1,SyntaxError: Missing parentheses in call to 'print'
79,d0680029,"print ""9 + 3 = "", 9 + 3",Compile Error,1,SyntaxError: Missing parentheses in call to 'print'
80,d0680029,"print ""9 + 3 = "", =12",Compile Error,1,SyntaxError: Missing parentheses in call to 'print'
81,d0680029,"print (""9 + 3"" ) 12",Compile Error,1,SyntaxError: invalid syntax
82,d0680029,"print (""9 + 3"" )= 12",Compile Error,1,SyntaxError: can't assign to function call
83,d0680029,"num1 = input('9：')
num2 = input('3：')
sum = float(num1) + float(num2)",Runtime Error,0,No output
84,d0680029,"num1 = input('9：')
num2 = input('3：')
sum = float(num1) + float(num2)
print(format(num1, num2, sum))",Runtime Error,0,No output
85,d0680029,"num1 = input('9：')
num2 = input('3：')
sum = float(num1) + float(num2)
print(format(9, 3, sum))",Runtime Error,0,No output
86,d0680029,"num1 = input('9：')
num2 = input('3：')
print(format(9, 3, sum))",Runtime Error,0,No output
87,d0680029,"num1 = input('9：')
num2 = input('3：')",Runtime Error,0,No output
88,d0680029,"print(a)=9
print(b)=3",Compile Error,1,SyntaxError: can't assign to function call
89,d0680029,"print(a)=9
print(b)=3",Compile Error,1,SyntaxError: can't assign to function call
90,d0680029,a+b=12,Compile Error,1,SyntaxError: can't assign to operator
91,d0680029,"print(""a=9"")
a=9
print(""b=3"")
b=3
print(""a+b=12"")
a+b=12",Compile Error,6,SyntaxError: can't assign to operator
92,d0680029,"a=9
b=3
print(""a+b=12"")
a+b=12",Compile Error,4,SyntaxError: can't assign to operator
93,d0680029,"a=9
b=3
print(""a+b="",sum)
a+b= 12.0",Compile Error,4,SyntaxError: can't assign to operator
94,d0680029,"a=9
b=3
print(""a+b="",sum)
a+b=12.0",Compile Error,4,SyntaxError: can't assign to operator
95,d0680029,"print(""a"")
 print(""b"")
print(""a+b="",sum)",Compile Error,2,IndentationError
96,d0680029,"9
 3
 a+b=12",Compile Error,2,IndentationError
97,d0745560,"var a=9
var b=3
printt(a+b)",Compile Error,1,SyntaxError: invalid syntax
98,d0745560,"int a=9
int b=3
printt(a+b)",Compile Error,1,SyntaxError: invalid syntax
99,d0745560,"int a = 9
int b = 3
print('a+b='(a+b))",Compile Error,1,SyntaxError: invalid syntax
100,d0745560,"int a = 9
int b = 3
print('a+b=12')",Compile Error,1,SyntaxError: invalid syntax
101,d0779224,"a=9
b=3
  print(a + b)",Compile Error,3,IndentationError
102,d0779224,"a=input
b=input
  print(a + b)",Compile Error,3,IndentationError
103,d0779224,"a=input
b=input
  print(a + b)",Compile Error,3,IndentationError
104,d0779224,"a=input
type(a)
b=input
type(b)
  print(a + b)",Compile Error,5,IndentationError
105,d0779224,"a=input
b=input
  print (a + b)",Compile Error,3,IndentationError
106,d0779224,"a=input
b=input
  print (a + b)
  5+4=",Compile Error,3,IndentationError
107,d0779224,"a=input
b=input
  print (a + b)
  5+4",Compile Error,3,IndentationError
108,d0779224,"a=input
b=input
  print (a + b)
  9+3",Compile Error,3,IndentationError
109,d0779224,"a=input()
b=input()
  print (a + b)
  9+3",Compile Error,3,IndentationError
110,d0779224,"a=input()
b=input()
  print (a + b)",Compile Error,3,IndentationError
111,d0779224,"a=5
b=8
  print (a + b)",Compile Error,3,IndentationError
112,d0779224,"a=input
b=input
print('a+b=',a+b)",Runtime Error,1,Variable or function not defined
113,d0779224,"a=input
b=input
print('a+b=',a+b)",Runtime Error,1,Variable or function not defined
114,d0779224,"a,b=input
print('a+b=',a+b)",Runtime Error,1,Variable or function not defined
115,d0779224,"a,b=input()
  print='a+b=',a+b",Compile Error,2,IndentationError
116,d0779224,"a=input()
  b=input()
  print(int(a)+int(b))",Compile Error,2,IndentationError
117,d0779224,"a=int(input('a='))
  b=int(input(('b='))
  print(a+b)",Compile Error,2,IndentationError
118,d0779224,"a=int(input('a='))
b=int(input(('b='))
print(a+b)",Compile Error,3,SyntaxError: invalid syntax
119,d0779224,"a=int(input('a='))
b=int(input(('b='))
print('a+b=')",Compile Error,3,SyntaxError: invalid syntax
120,d0779224,"a=int(input('a='))
b=int(input(('b='))
print('a+b=',str(a+b))",Compile Error,2,SyntaxError: invalid syntax
121,d0650237,"a=input()
b=input()
c=int(a)+int(b)
print('a+b='+c)",Runtime Error,4,Data Type Error
122,d0650237,"a=input()
b=input()
print('a+b='a+b)",Compile Error,3,SyntaxError: invalid syntax
123,d0650237,"a=input()
b=input()
print('a+b='a+b)",Compile Error,3,SyntaxError: invalid syntax
124,d0650237,"a=input(""a"")
b=input(""b"")
  int(a)
  int(b)
c=a+b
print('a+b='+ c)",Compile Error,3,IndentationError
125,d0650237,"a=input(""a"")
b=input(""b"")
  int(a)
  int(b)
  int(c)
c=a+b
print('a+b='+ c)",Compile Error,3,IndentationError
126,d0650237,"int(a)
  int(b)
  int(c)
a=input(""a"")
b=input(""b"")

c=a+b
print('a+b='+ c)",Compile Error,2,IndentationError
127,d0650237,"# -*- coding:utf-8 
int(a)
  int(b)
  int(c)
a=input(""a"")
b=input(""b"")

c=a+b
print('a+b='+ c)",Compile Error,3,IndentationError
128,d0650237,"a=input(""a"")
b=input(""b"")

print('a+b=' int(a)+int(b))",Compile Error,4,SyntaxError: invalid syntax
129,d0687151,"int a
int b
a = input("""")
b = input("""")
print(""a+b=""+(a+b))",Compile Error,1,SyntaxError: invalid syntax
130,d0687151,"int a
int b
int c
a = input("""")
b = input("""")
c = a+b
print(""a+b=""+c)",Compile Error,1,SyntaxError: invalid syntax
131,d0687151,"int a
int b
int c
a = input("""")
b = input("""")
c = a+b
print(""a+b="")
 print c",Compile Error,1,SyntaxError: invalid syntax
132,d0687151,"int a
int b
int c
a = input("""")
b = input("""")
c = a+b
print(""a+b="")
print(type(c))",Compile Error,1,SyntaxError: invalid syntax
133,d0687151,"int a
int b
int c
a = input("""")
b = input("""")
c = a+b
print(""a+b=""+str(a+b))",Compile Error,1,SyntaxError: invalid syntax
134,d0687151,"int a
int b
int c
a = input("""")
b = input("""")
c = a+b
print(""a+b="", a+b)",Compile Error,1,SyntaxError: invalid syntax
135,d0687151,"int a
int b
int c
a = input("""")
b = input("""")
c = a+b
print(a+b)",Compile Error,1,SyntaxError: invalid syntax
136,d0687151,"int a
int b
int c
a = input("""")
b = input("""")
c = a+b
print('a+b=', a+b)",Compile Error,1,SyntaxError: invalid syntax
137,d0687151,"a = input("""")
b = input("""")
c = a+b
print(""a+b=%d""%c)",Runtime Error,4,Data Type Error
138,d0687151,"a = input("""")
b = input("""")
c = a+b
print('a+b=%d'%(c))",Runtime Error,4,Data Type Error
139,d0687151,"while(1){a = input("""")
b = input("""")
c = a+b
print('a+b=%d'%(c))
         }",Compile Error,1,SyntaxError: invalid syntax
140,d0687151,"a = input("""")
b = input("""")
c = a+b
print('a+b=%d'%(a+b))",Runtime Error,4,Data Type Error
141,d0687151,"a=input("""")
b=input("""")
 print(""a+b=""+str(a+b))",Compile Error,3,IndentationError
142,d0687151,"a=input()
b=input()
 print(""a+b=""+str(a+b))",Compile Error,3,IndentationError
143,d0687151,"a=intput()
b=intput()
print(""a+b=""+(int(a)+int(b)))",Runtime Error,3,Data Type Error
144,d0843867,"a=9,b=3
  print(a+b)",Compile Error,2,IndentationError
145,d0843867,"a=9,b=3
print(a+b)",Compile Error,1,SyntaxError: invalid syntax
146,d0843867,"a=9 b=3
print(a+b)",Compile Error,1,SyntaxError: invalid syntax
147,d0843867,"a=input1
b=input2
print(""a+b="",a+b)",Runtime Error,1,Variable or function not defined
148,d0843867,"a,b=map(int,input().split())",Runtime Error,1,SyntaxError: can't assign to operator
149,d0646275,"a = int(input())
b = int(input())
print(""a+b=""+(a+b))",Runtime Error,3,Data Type Error
150,d0571807,"input(a)
input(b)
print('a+b+',a+b)",Runtime Error,1,SyntaxError: invalid syntax
151,d0571807,"input(a)
input(b)
print('a+b=',a+b)",Runtime Error,1,SyntaxError: invalid syntax
152,d0571807,"input(a)
input(b)
print('a+b=',str(a+b))",Runtime Error,1,SyntaxError: invalid syntax
153,d0636788,"a=()
  b=()
  a+b=12",Compile Error,2,IndentationError
154,d0636788,"a=()
  b=()
  print(a+b=12)",Compile Error,2,IndentationError
155,d0636788,"a=""6""
  b='6'
  print(a+b=12)",Compile Error,2,IndentationError
156,d0636788,"a=""9""
  b='3'
  print(a+b=12)",Compile Error,2,IndentationError
157,d0636788,"a=9
  b=3
  print(""a+b"")",Compile Error,2,IndentationError
158,d0636788,"a=""9""
  b='3'
  print(""a+b"")",Compile Error,2,IndentationError
159,d0636788,"input(a=""9"")
innput(b='3')
  print(""a+b=12"")",Compile Error,3,IndentationError
160,d0636788,"input(a=9)
input(b=3)
  print(""a+b="")",Compile Error,3,IndentationError
161,d0636788,"input(a=9)
input(b=3)
  print(""a+b="")",Compile Error,3,IndentationError
162,d0636788,"a=input()
b=input()
  print(""a+b="")",Compile Error,3,IndentationError
163,d0636788,"a=input(""9"")
b=input(""3"")
  print(""a+b="")",Compile Error,3,IndentationError
164,d0636788,"a=input(""9"")
b=input(""3"")
  print(""a+b=12"")",Compile Error,3,IndentationError
165,d0636788,"a=9
  b=3
  input(a+b)
  print(""a+b=12"")",Compile Error,2,IndentationError
166,d0636788,"a=intput(""9"")
  b=input(""3"")
  sum=float(a)+float(b)
 print(12)",Compile Error,2,IndentationError
167,d0636788,"num1=intput('9')
num2=input('3')
  sum=float('num1')+float('num2')
 print(12)",Compile Error,3,IndentationError
168,d0636788,"num1=intput('9')
num2=input('3')
  sum=float('num1')+float('num2')
 print(format(num1, num2, sum))",Compile Error,3,IndentationError
169,d0636788,"num1=intput('9')
num2=input('3')
  sum=float('num1')+float('num2')
 print('12'format(num1, num2, sum))",Compile Error,3,IndentationError
170,d0636788,"num1=intput('9')
num2=input('3')
  sum=float('num1')+float('num2')
 print(sum=float('num')+float('num'))",Compile Error,3,IndentationError
171,d0636788,"a=9
  b=3
  input(""a+b="")
  print(""a+b="")",Compile Error,2,IndentationError
172,d0636788,"a=input('9')
b=input(""3"")
  sum=('a+b')
  print('a+b=')",Compile Error,3,IndentationError
173,d0636788,"a=""9""
b=""3""
  sum(""a+b="")
  print(""a+b="")",Compile Error,3,IndentationError
174,d0636788,"a=""9""
b=""3""
  sum(a,b)",Compile Error,3,IndentationError
175,d0636788,"a=""9""
b=""3""
 print(a+b)",Compile Error,3,IndentationError
176,d0636788,"a=""9""
b=""3""
c=""12""  
 print(""a+b"",c)",Compile Error,4,IndentationError
177,d0636788,"a=""9""
b=""3""
c=""12""  
 c=a+b
  print(""a+b"",c)",Compile Error,4,IndentationError
178,d0636788,"a=""9""
b=""3""
c=""12""  
 c = a + b
  print(""a+b"",c)",Compile Error,4,IndentationError
179,d0636788,"a=9
b=3
c=12  
 c = a + b
  print(""a+b"",c)",Compile Error,4,IndentationError
180,d0636788,"a=9
b=3
c=12  
 c = a + b
  print(c)",Compile Error,4,IndentationError
181,d0636788,"a=9
b=3
c=12  
  print(""a+b=c"")",Compile Error,4,IndentationError
182,d0636788,"a=9
  b=3
  c=12
  print(c)",Compile Error,2,IndentationError
183,d0636788,"a=input('9')
  b=input('3')
  print('a+b=')",Compile Error,2,IndentationError
184,d0636788,"a=input('9')
  b=input('3')
  print('a+b=12')",Compile Error,2,IndentationError
185,d0636788,"a=input()
  b=input()
  print('a+b=12')",Compile Error,2,IndentationError
186,d0636788,"a = int(input(""Enter a:""))
b = int(input(""Enter b:""))
 
sum = x + y
print(sum)",Runtime Error,4,Variable or function not defined
187,d0636788,"a = int(input(""9""))
b = int(input(""3""))
 
sum = x + y
print(sum)",Runtime Error,4,Variable or function not defined
188,d0608004,"a=input("""")
b=input("""")
sum=float(a)+float(b)
format(a,b,sum)",Runtime Error,4,Variable or function not defined
189,d0608004,"a=input("""")
b=input("""")
sum=a+b
format(a,b,sum)",Runtime Error,4,Variable or function not defined
190,d0608004,"a=3
b=9
print(""a+b="",a+b=12)",Compile Error,3,SyntaxError: can't assign to operator
191,d0608004,"a=9,b=3
print(""a+b="",a+b=12)",Compile Error,1,SyntaxError: invalid syntax
192,d0608004,"a=input(9)
b=input(3)
print(""a+b="",a+b=12)",Compile Error,3,SyntaxError: can't assign to operator
193,d0608004,"a=input(""9"")
b=input(""3"")
print(""a+b="",a+b=12)",Compile Error,3,SyntaxError: can't assign to operator
194,d0608004,"a=input(""9"")
b=input(""3"")
print(""a+b="",a+b=)",Compile Error,3,SyntaxError: can't assign to operator
195,d0608004,"a=9
b=3
print ""a+b="",a+b",Compile Error,3,SyntaxError: Missing parentheses in call to ‘print'
196,d0608004,"a=9
b=3
print ""a+b="" ,a+b",Compile Error,3,SyntaxError: Missing parentheses in call to ‘print'
197,d0608004,"a=input(""9"")
b=input(""3"")
  c=a+b
print(""a+b="",c)",Compile Error,3,IndentationError
198,d0608004,"a=input("""")
b=input("""")
  c=a+b
print(""a+b="",c)",Compile Error,3,IndentationError
199,d0608004,"a=input("""")
b=input("""")
  c=a+b
print(""a+b="",c)",Compile Error,3,IndentationError
200,d0608004,"a=input(""""),b=input("""")
  c=a+b
print(""a+b="",c)",Compile Error,2,IndentationError
201,d0608004,"a,b=input("""","""")
  c=a+b
print(""a+b="",c)",Compile Error,2,IndentationError
202,d0608004,"a=input(9)
b=input(3)
  c=a+b
print(""a+b="",c)",Compile Error,3,IndentationError
203,d0608004,"a=input(""9"")
b=input(""3"")
  c=a+b
print(""a+b="",c)",Compile Error,3,IndentationError
204,d0608004,"a,b=input("""","""")
  c=a+b
print(""a+b="",c)",Compile Error,2,IndentationError
205,d0608004,"a,b=input("""","""")
print(""a+b="",a+b)",Runtime Error,1,SyntaxError: invalid syntax
206,d0608004,"a and b=input("""","""")
print(""a+b="",a+b)",Compile Error,1,SyntaxError: invalid syntax
207,d0608004,"a , b=input("""","""")
print(""a+b="",a+b)",Runtime Error,1,SyntaxError: invalid syntax
208,d0608004,"a and b=input("""" and """")
print(""a+b="",a+b)",Compile Error,1,SyntaxError: can't assign to operator
209,d0747371,"b=9
a=3
 print(""a+b=12"")",Compile Error,3,IndentationError
210,d0747371,"a=input("""",9)
b=input("""",3)
c=a+b
print(""a+b="",c)",Runtime Error,1,SyntaxError: invalid syntax
211,d0747371,"a=9
b=3
print(""a+b=""a+b)",Compile Error,3,SyntaxError: invalid syntax
212,d0747371,"a=input("""",9)
b=input("""",3)
print(""a+b="",a+b)",Runtime Error,1,SyntaxError: invalid syntax
213,d0650386,"print('a=9')
print('b=3')
a+b",Runtime Error,3,Variable or function not defined
214,d0649558,"a=9
b=3
c=a+b
print(""a+b=""c)",Compile Error,4,SyntaxError: invalid syntax
215,d0649558,"a=9
b=3
c=a+b
print(""a+b=""(c))",Runtime Error,4,SyntaxError: invalid syntax
216,d0649558,"a=9
b=3
c=a+b
print(""a+b=""(c))",Runtime Error,4,SyntaxError: invalid syntax
217,d0649558,"a=9
b=3
print(a+b=""a+b"")",Compile Error,3,SyntaxError: keyword can't be an expression
218,d0649558,"a=9
b=3
print(a+b=12)",Compile Error,3,SyntaxError: keyword can't be an expression
219,d0649558,"a=input()
b=input()
print('a+b='a+b)",Compile Error,3,SyntaxError: invalid syntax
220,d0649558,"a=int(input())
b=int(input())
print('a+b''='a+b)",Compile Error,3,SyntaxError: invalid syntax
221,d0613326,a+b=12,Compile Error,1,SyntaxError: can't assign to operator
222,d0613326,"a=9
b=3
a+b=12",Compile Error,3,SyntaxError: can't assign to operator
223,d0613326,"def
a=9
b=3
print(a+b)",Compile Error,1,SyntaxError: invalid syntax
224,d0613326,"def add():
a=9
b=3
print(a+b)",Compile Error,2,IndentationError
225,d0613326,"def add():
a= 9
b= 3
print(a+b)",Compile Error,2,IndentationError
226,d0613326,"Input
a= 9
b= 3

print(a+b)",Runtime Error,1,SyntaxError: invalid syntax
227,d0613326,"Input:
a= 9
b= 3
Output:
print(a+b)",Compile Error,1,SyntaxError: invalid syntax
228,d0613326,"a=9
b=3
a+b=12",Compile Error,3,SyntaxError: can't assign to operator
229,d0613326,"9=a
3=b
print(""a+b="",a+b)",Compile Error,1,SyntaxError: can't assign to literal
230,d0613326,"input(a=9
b=3)
print(""a+b="",a+b)",Compile Error,2,SyntaxError: invalid syntax
231,d0613326,"input(a=9,b=3)
print(""a+b="",a+b)",Runtime Error,1,SyntaxError: invalid syntax
232,d0613326,"input(a=9)
input(b=3)
print(""a+b="",a+b)",Runtime Error,1,SyntaxError: invalid syntax
233,d0613326,"x = input(a,b)
  print(""a+b=""+ str(a+b))",Compile Error,2,IndentationError
234,d0613326,"a,b=input('num1','num2')

print(""a+b=""+ str(12))",Runtime Error,1,SyntaxError: invalid syntax
235,d0613326,"a=input(9)
  b=input(3)
  print('a+b='+str(a+b))",Compile Error,2,IndentationError
236,d0613326,"a=input()
  b=input()
  print('a+b='+str(a+b))",Compile Error,2,IndentationError
237,d0613326,"a=int(input())
  b=int(input())
  print('a+b='+str(a+b))",Compile Error,2,IndentationError
238,d0651566,"a=9
  b=3
  print(""a+b"",a+b)",Compile Error,2,IndentationError
239,d0651566,"a=9
b=3
  print(""a+b""+a+b)",Compile Error,3,IndentationError
240,d0651566,"a=9
b=3
print(a+b=)",Compile Error,3,SyntaxError: invalid syntax
241,d0651566,"a=9
b=3
c=a+b
print(""a+b,""+c)",Runtime Error,4,Data Type Error
242,d0651566,"a=9
b=3
c=a+b
print(""a+b""+c)",Runtime Error,4,Data Type Error
243,d0651566,"a=9
b=3
c=a+b
print(""a+b,""+c)",Runtime Error,4,Data Type Error
244,d0651566,"a=9
b=3
c=a+b
print(""a+b.""+c)",Runtime Error,4,Data Type Error
245,d0651566,"a=9
b=3
c=a+b
print('a+b'+c)",Runtime Error,4,Data Type Error
246,d0651566,"a=9
b=3
c=a+b
print('a+b,'+c)",Runtime Error,4,Data Type Error
247,d0651566,"a=9
b=3
c=a+b
print(""a+b=,""c)",Compile Error,4,SyntaxError: invalid syntax
248,d0651566,"a=9
b=3
c=a+b
print(""a+b=,""+c)",Runtime Error,4,Data Type Error
249,d0651566,"a=9
b=3
c=""a+b=,""+a+b
print(c)",Runtime Error,3,Data Type Error
250,d0651566,"a=9
b=3
c=""a+b=""
  d=a+b
print(c+d)",Compile Error,4,IndentationError
251,d0651566,"a=9
b=3
c=""a+b=""
  d=a+b
print(""c""+d)",Compile Error,4,IndentationError
252,d0651566,"a=9
b=3
c=""a+b=""
  d=a+b
e=c+d
print(e)",Compile Error,4,IndentationError
253,d0651566,"a=9
b=3
c=""a+b=""
d=a+b
e=c+d
print(e)",Runtime Error,5,Data Type Error
254,d0651566,"a=9
b=3
c=""a+b=,""+a+b
print(c)",Runtime Error,3,Data Type Error
255,d0651566,"a=9
b=3
c=""a+b=,""a+b
print(c)",Compile Error,3,Data Type Error
256,d0651566,"a=9
b=3

print(""a+b=,""a+b)",Compile Error,4,Data Type Error
257,d0651566,"a=9
b=3
print(""a+b=,""a+b)",Compile Error,3,Data Type Error
258,d0651566,"a=9
b=3
print(""a+b=,"")a+b",Compile Error,3,Data Type Error
259,d0651566,"a=9
b=3
print(a+b=)",Compile Error,3,SyntaxError: invalid syntax
260,d0651566,"a=9
  b=3
  print(""a+b="",a+b)",Compile Error,2,IndentationError
261,d0651566,"a=input()
  b=input()
  print(""a+b="",a+b)",Compile Error,2,IndentationError
262,d0651566,"a=input()
  b=input()
  print(""a+b=""+a+b)",Compile Error,2,IndentationError
